txn_id,account,amount,merchant,city,timestamp
T00001,ACCT-004,19.7,Pharmacy,Toronto,2026-06-03T18:05:00
T00002,ACCT-002,83.09,Pharmacy,New York,2026-06-01T17:04:00
T00003,ACCT-002,303.6,GroceryCo,New York,2026-06-04T15:47:00
T00004,ACCT-007,23.47,FuelStop,London,2026-06-01T15:21:00
T00005,ACCT-003,98.36,ElectroMart,Toronto,2026-06-04T10:49:00
T00006,ACCT-002,186.13,ElectroMart,New York,2026-06-01T23:04:00
T00007,ACCT-004,124.19,AirTravel,Toronto,2026-06-04T14:03:00
T00008,ACCT-001,201.13,RideShare,London,2026-06-05T05:53:00
T00009,ACCT-007,250.5,RideShare,London,2026-06-04T16:56:00
T00010,ACCT-008,120.81,FuelStop,Toronto,2026-06-02T09:32:00
T00011,ACCT-004,33.54,CloudSaaS,Toronto,2026-06-04T08:42:00
T00012,ACCT-008,281.04,RideShare,Toronto,2026-06-03T00:18:00
T00013,ACCT-002,44.84,Pharmacy,New York,2026-06-02T07:31:00
T00014,ACCT-006,55.42,RideShare,Toronto,2026-06-03T18:34:00
T00015,ACCT-001,308.15,AirTravel,London,2026-06-04T13:11:00
T00016,ACCT-006,114.12,LuxuryGoods,Toronto,2026-06-04T18:09:00
T00017,ACCT-008,188.93,RideShare,Toronto,2026-06-01T18:23:00
T00018,ACCT-002,302.74,RideShare,New York,2026-06-05T08:10:00
T00019,ACCT-002,26.93,CloudSaaS,New York,2026-06-05T01:21:00
T00020,ACCT-008,96.79,Pharmacy,Toronto,2026-06-05T04:17:00
T00021,ACCT-006,15.04,RideShare,Toronto,2026-06-03T09:31:00
T00022,ACCT-003,198.61,RideShare,Toronto,2026-06-01T17:02:00
T00023,ACCT-004,247.69,ElectroMart,Toronto,2026-06-02T18:48:00
T00024,ACCT-007,129.98,RideShare,London,2026-06-01T20:00:00
T00025,ACCT-003,148.15,CloudSaaS,Toronto,2026-06-02T03:41:00
T00026,ACCT-007,277.56,CloudSaaS,London,2026-06-05T09:26:00
T00027,ACCT-007,315.78,Pharmacy,London,2026-06-02T16:30:00
T00028,ACCT-003,33.89,ElectroMart,Toronto,2026-06-02T16:40:00
T00029,ACCT-004,11.76,ElectroMart,Toronto,2026-06-02T20:52:00
T00030,ACCT-005,9.28,Pharmacy,Toronto,2026-06-04T09:59:00
T00031,ACCT-006,198.26,LuxuryGoods,Toronto,2026-06-02T02:08:00
T00032,ACCT-001,150.47,Pharmacy,London,2026-06-03T15:20:00
T00033,ACCT-007,130.97,RideShare,London,2026-06-04T23:36:00
T00034,ACCT-007,27.42,AirTravel,London,2026-06-02T13:30:00
T00035,ACCT-008,58.64,LuxuryGoods,Toronto,2026-06-04T19:01:00
T00036,ACCT-001,39.94,ElectroMart,London,2026-06-04T10:15:00
T00037,ACCT-002,304.07,GroceryCo,New York,2026-06-01T18:36:00
T00038,ACCT-004,199.59,ElectroMart,Toronto,2026-06-04T23:37:00
T00039,ACCT-005,306.11,LuxuryGoods,Toronto,2026-06-04T01:44:00
T00040,ACCT-002,43.99,RideShare,New York,2026-06-04T00:37:00
T00041,ACCT-008,158.96,AirTravel,Toronto,2026-06-02T04:40:00
T00042,ACCT-002,241.9,CloudSaaS,New York,2026-06-04T02:20:00
T00043,ACCT-003,169.1,FuelStop,Toronto,2026-06-04T09:07:00
T00044,ACCT-006,53.74,GroceryCo,Toronto,2026-06-04T09:06:00
T00045,ACCT-005,313.29,AirTravel,Toronto,2026-06-05T08:03:00
T00046,ACCT-005,169.74,ElectroMart,Toronto,2026-06-03T09:33:00
T00047,ACCT-004,174.17,LuxuryGoods,Toronto,2026-06-04T23:53:00
T00048,ACCT-004,199.33,FuelStop,Toronto,2026-06-02T17:41:00
T00049,ACCT-007,238.84,FuelStop,London,2026-06-02T12:17:00
T00050,ACCT-008,118.94,GroceryCo,Toronto,2026-06-01T12:48:00
T00051,ACCT-005,155.34,FuelStop,Toronto,2026-06-05T07:33:00
T00052,ACCT-006,147.54,LuxuryGoods,Toronto,2026-06-03T10:47:00
T00053,ACCT-002,76.78,FuelStop,New York,2026-06-04T01:10:00
T00054,ACCT-004,113.37,RideShare,Toronto,2026-06-04T22:12:00
T00055,ACCT-001,157.6,LuxuryGoods,London,2026-06-05T00:48:00
T00056,ACCT-002,268.41,AirTravel,New York,2026-06-03T14:02:00
T00057,ACCT-004,157.15,ElectroMart,Toronto,2026-06-03T20:14:00
T00058,ACCT-006,35.07,Pharmacy,Toronto,2026-06-04T00:14:00
T00059,ACCT-007,239.93,AirTravel,London,2026-06-05T11:57:00
T00060,ACCT-003,61.04,ElectroMart,Toronto,2026-06-01T12:45:00
T00061,ACCT-002,48750.0,LuxuryGoods,New York,2026-06-02T05:00:00
T00062,ACCT-005,47.56,CloudSaaS,Toronto,2026-06-02T18:20:00
T00063,ACCT-005,85.24,CloudSaaS,Toronto,2026-06-02T18:20:40
T00064,ACCT-005,80.33,CloudSaaS,Toronto,2026-06-02T18:21:20
T00065,ACCT-005,47.31,CloudSaaS,Toronto,2026-06-02T18:22:00
T00066,ACCT-005,81.33,CloudSaaS,Toronto,2026-06-02T18:22:40
T00067,ACCT-005,89.02,CloudSaaS,Toronto,2026-06-02T18:23:20
T00068,ACCT-003,120.0,FuelStop,Toronto,2026-06-03T11:00:00
T00069,ACCT-003,95.0,AirTravel,Singapore,2026-06-03T11:30:00
